year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2012,1,1,115,4,13,25,108,0,3,17,133,150,27,1,2,9,47,0,0,3,56,59,79,3,10,15,59,0,3,13,74,87,4,0,0,0,0,0,0,0,0,0,5,0,1,1,2,0,0,1,3,4,556,7,17,-308,-70,Austin
2013,1,1,118,6,9,15,136,11,2,15,162,177,44,0,3,6,56,4,0,3,66,69,64,6,6,6,72,7,2,12,85,97,3,0,0,0,1,0,0,0,1,1,7,0,0,3,7,0,0,0,10,10,570,4,22,-306,-68,Austin
2014,1,1,128,5,13,20,113,7,1,18,140,158,48,2,4,7,51,3,0,6,61,67,70,3,7,12,53,4,1,10,69,79,0,0,1,0,0,0,0,1,0,1,10,0,1,1,9,0,0,1,10,11,546,2,31,-305,-67,Austin
2015,1,1,79,2,5,17,106,5,4,7,128,135,21,1,0,7,55,1,1,1,63,64,52,1,5,8,44,2,3,6,54,60,2,0,0,0,0,0,0,0,0,0,4,0,0,2,7,2,0,0,11,11,427,5,19,-304,-66,Austin
2016,1,1,110,2,8,13,86,9,5,10,108,118,40,1,1,7,45,7,1,2,59,61,63,1,7,5,39,2,4,8,46,54,1,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,3,3,453,6,21,-310,-72,Austin
2017,1,1,109,3,11,10,106,7,9,14,123,137,36,0,2,6,54,4,1,2,64,66,67,1,9,2,47,3,7,10,52,62,0,0,0,0,0,0,0,0,0,0,6,2,0,2,5,0,1,2,7,9,457,1,24,-308,-70,Austin
2018,1,1,68,5,12,17,66,3,4,17,86,103,22,1,1,9,39,2,0,2,50,52,41,4,10,4,24,1,4,14,29,43,1,0,0,0,0,0,0,0,0,0,4,0,1,4,3,0,0,1,7,8,328,1,20,-307,-69,Austin
2019,1,1,85,1,10,12,86,4,5,11,102,113,25,0,1,6,38,1,0,1,45,46,55,1,9,6,45,3,5,10,54,64,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,3,391,0,16,-306,-68,Austin
2020,1,1,86,2,11,6,101,13,3,13,120,133,26,0,3,2,40,2,1,3,44,47,55,2,8,4,53,10,2,10,67,77,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,1,0,0,9,9,414,2,21,-305,-67,Austin
2021,1,1,87,2,10,11,81,13,7,12,105,117,29,1,1,4,46,4,3,2,54,56,54,1,9,5,32,7,4,10,44,54,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,2,0,0,7,7,395,0,20,-310,-72,Austin
