year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2012,1,1,0,1,4,5,0,7,5,5,12,17,0,0,0,1,0,4,1,0,5,5,0,0,4,4,0,3,4,4,7,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,104,2,5,-308,-70,Hartford
2013,1,1,0,0,5,2,0,2,6,5,4,9,0,0,1,1,0,2,0,1,3,4,0,0,4,1,0,0,6,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2,6,-306,-68,Hartford
2014,1,1,0,0,4,1,1,7,6,4,9,13,0,0,0,1,1,5,1,0,7,7,0,0,3,0,0,2,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,82,2,4,-305,-67,Hartford
2015,1,1,0,0,7,2,0,9,2,7,11,18,0,0,2,2,0,3,0,2,5,7,0,0,5,0,0,6,2,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,4,-304,-66,Hartford
2016,1,1,0,2,2,2,0,7,7,4,9,13,0,1,0,2,0,3,1,1,5,6,0,1,2,0,0,3,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,101,1,4,-310,-72,Hartford
2017,1,1,0,0,4,1,0,5,10,4,6,10,0,0,0,1,0,3,0,0,4,4,0,0,4,0,0,2,9,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,0,1,-308,-70,Hartford
2018,1,1,0,0,3,0,1,6,4,3,7,10,0,0,0,0,1,2,0,0,3,3,0,0,3,0,0,4,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,5,-307,-69,Hartford
2019,1,1,0,0,2,0,0,5,15,2,5,7,0,0,0,0,0,2,3,0,2,2,0,0,2,0,0,3,12,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,5,-306,-68,Hartford
2020,1,1,0,2,1,0,0,6,16,3,6,9,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,6,14,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,6,-305,-67,Hartford
2021,1,1,0,1,2,1,0,7,19,3,8,11,0,0,0,0,0,3,1,0,3,3,0,1,2,1,0,4,18,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,2,2,-310,-72,Hartford
