year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2012,1,1,48,9,11,2,9,36,14,13,59,72,12,0,2,0,6,10,5,2,21,23,33,9,8,2,3,24,8,10,35,45,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,1,3,4,229,2,12,-308,-70,New Orleans
2013,1,1,38,4,4,5,11,57,9,9,77,86,11,0,0,0,5,15,4,0,24,24,24,4,4,5,5,41,5,9,51,60,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,2,2,220,0,7,-306,-68,New Orleans
2014,1,1,49,2,2,8,4,51,8,10,63,73,10,1,0,2,1,15,5,2,21,23,37,1,2,5,3,35,3,7,41,48,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,202,3,9,-305,-67,New Orleans
2015,1,1,53,1,5,4,6,88,19,9,113,122,22,0,0,0,3,26,9,0,38,38,29,1,5,4,2,59,9,9,70,79,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,5,5,235,1,10,-304,-66,New Orleans
2016,1,1,48,3,4,4,7,49,16,8,72,80,19,0,3,1,0,20,4,4,24,28,29,2,1,3,5,26,11,4,42,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,6,6,213,0,8,-310,-72,New Orleans
2017,1,1,50,2,3,7,9,50,17,10,76,86,17,1,0,2,4,17,6,2,27,29,29,1,2,4,5,32,10,6,47,53,1,0,0,1,0,0,0,1,0,1,3,0,1,0,0,1,1,1,2,3,212,2,7,-308,-70,New Orleans
2018,1,1,61,2,1,1,5,46,14,2,65,67,31,0,1,0,4,18,4,1,26,27,29,2,0,1,0,27,9,1,36,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,3,209,0,9,-307,-69,New Orleans
2019,1,1,62,5,7,6,1,53,26,13,80,93,21,0,2,2,1,24,2,4,27,31,38,4,5,4,0,24,24,9,48,57,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,5,5,263,3,14,-306,-68,New Orleans
2020,1,1,27,1,3,1,1,22,19,4,42,46,10,0,1,0,0,4,8,1,12,13,16,1,2,0,1,17,11,2,29,31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,87,0,6,-305,-67,New Orleans
2021,1,1,63,3,2,10,6,19,28,12,53,65,15,1,1,4,1,9,11,5,21,26,40,2,0,5,5,10,17,5,32,37,1,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,2,0,2,213,1,12,-310,-72,New Orleans
2022,1,1,70,3,10,7,5,33,46,17,84,101,23,0,1,1,2,15,13,2,30,32,43,3,8,5,2,17,32,13,51,64,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,2,3,5,231,0,14,-309,-71,New Orleans
