year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2012,1,1,33,6,8,9,69,11,4,14,89,103,13,1,3,5,28,5,0,4,38,42,18,5,5,4,41,5,3,10,50,60,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,399,2,14,-308,-70,San Francisco
2013,1,1,35,13,14,16,97,17,3,27,130,157,8,2,4,5,30,6,2,6,41,47,21,11,10,9,58,9,1,21,76,97,0,0,0,0,0,0,0,0,0,0,6,0,0,2,9,2,0,0,13,13,448,2,34,-306,-68,San Francisco
2014,1,1,34,6,13,13,82,11,4,19,106,125,11,0,6,5,29,4,1,6,38,44,20,6,7,8,48,6,2,13,62,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,1,0,6,6,363,1,17,-305,-67,San Francisco
2015,1,1,24,13,14,9,113,18,2,27,140,167,9,2,0,1,51,5,1,2,57,59,12,11,14,7,54,12,1,25,73,98,0,0,0,0,0,0,0,0,0,0,3,0,0,1,8,1,0,0,10,10,413,0,18,-304,-66,San Francisco
2016,1,1,28,8,11,14,113,17,2,19,144,163,7,1,0,5,45,10,1,1,60,61,17,6,10,7,54,4,1,16,65,81,0,1,0,0,1,0,0,1,1,2,4,0,1,2,13,3,0,1,18,19,413,5,34,-310,-72,San Francisco
2017,1,1,23,8,7,13,116,9,1,15,138,153,5,4,0,4,54,3,0,4,61,65,16,4,6,8,56,5,1,10,69,79,1,0,0,0,0,0,0,0,0,0,1,0,1,1,6,1,0,1,8,9,378,2,22,-308,-70,San Francisco
2018,1,1,23,3,6,10,122,14,4,9,146,155,10,2,1,2,44,6,0,3,52,55,12,1,5,8,63,6,4,6,77,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,17,17,337,3,27,-307,-69,San Francisco
2019,1,1,26,10,5,17,54,55,5,15,126,141,5,2,1,7,19,22,0,3,48,51,19,6,4,9,31,29,5,10,69,79,0,0,0,1,0,1,0,0,2,2,2,2,0,0,4,3,0,2,7,9,372,3,21,-306,-68,San Francisco
2020,1,1,14,11,14,15,81,83,2,25,179,204,5,2,3,4,25,44,2,5,73,78,9,9,11,11,50,33,0,20,94,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,12,12,428,3,21,-305,-67,San Francisco
2021,1,1,21,9,7,41,41,86,1,16,168,184,4,3,1,13,20,35,0,4,68,72,15,6,6,26,20,37,1,12,83,95,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,14,0,0,17,17,355,3,28,-310,-72,San Francisco
