year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2012,1,1,3,1,0,2,13,17,25,2,55,57,0,0,0,0,5,5,15,0,25,25,3,1,0,2,5,12,9,2,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,4,90,0,7,-308,-70,Seattle
2013,1,1,2,0,0,2,7,19,30,2,56,58,1,0,0,0,6,6,15,0,27,27,1,0,0,2,1,10,12,2,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,87,0,7,-306,-68,Seattle
2014,1,1,2,0,0,3,18,18,42,3,78,81,1,0,0,1,9,6,25,1,40,41,1,0,0,2,9,12,15,2,36,38,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,113,2,4,-305,-67,Seattle
2015,1,1,3,0,1,0,9,19,42,1,70,71,1,0,0,0,1,6,25,0,32,32,2,0,1,0,6,11,15,1,32,33,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2,0,5,5,98,1,6,-304,-66,Seattle
2016,1,1,5,0,4,2,7,18,50,6,75,81,3,0,0,0,3,6,34,0,43,43,1,0,4,2,3,12,12,6,27,33,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,3,0,4,4,111,1,7,-310,-72,Seattle
2017,1,1,2,1,1,1,13,21,32,2,66,68,0,1,0,0,5,10,18,0,33,33,1,0,1,1,6,8,8,2,22,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,6,0,11,11,96,1,14,-308,-70,Seattle
2018,1,1,0,0,0,1,17,25,30,1,72,73,0,0,0,0,7,14,20,0,41,41,0,0,0,1,8,11,8,1,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,4,103,0,4,-307,-69,Seattle
2019,1,1,2,0,0,2,20,31,25,2,76,78,0,0,0,0,11,8,12,0,31,31,1,0,0,2,8,18,11,2,37,39,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,4,2,0,7,7,99,1,9,-306,-68,Seattle
2020,1,1,3,5,3,2,20,23,32,5,75,80,1,1,1,1,7,7,15,2,29,31,2,4,2,1,11,14,15,3,40,43,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,1,0,5,5,139,1,11,-305,-67,Seattle
2021,1,1,2,0,3,4,25,27,32,7,84,91,0,0,0,1,10,13,19,1,42,43,2,0,3,3,12,12,11,6,35,41,0,0,0,0,0,1,1,0,2,2,0,0,0,0,3,1,1,0,5,5,134,2,7,-310,-72,Seattle
2022,1,1,2,1,2,7,28,30,48,9,106,115,1,0,1,3,12,11,31,4,54,58,1,1,1,3,15,13,13,4,41,45,0,0,0,0,0,1,1,0,2,2,0,0,0,1,1,5,3,1,9,10,145,3,14,-309,-71,Seattle
2023,1,1,1,3,1,3,12,14,44,4,70,74,1,1,0,0,5,6,21,0,32,32,0,2,0,3,6,6,15,3,27,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,1,11,12,117,0,14,-308,-70,Seattle
2024,1,1,1,1,1,6,20,24,61,7,105,112,0,0,0,1,6,12,24,1,42,43,1,1,1,4,9,8,33,5,50,55,0,0,0,0,1,0,2,0,3,3,0,0,0,1,4,4,2,1,10,11,162,4,13,-307,-69,Seattle
2012,2,1,2,2,2,3,10,17,31,5,58,63,1,1,1,1,6,11,15,2,32,34,1,1,1,2,4,5,13,3,22,25,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,0,2,2,91,2,3,-277,-39,Seattle
2013,2,1,0,0,0,2,13,13,29,2,55,57,0,0,0,2,5,6,11,2,22,24,0,0,0,0,6,6,16,0,28,28,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,4,4,77,2,4,-275,-37,Seattle
2014,2,1,4,0,0,0,9,9,50,0,68,68,1,0,0,0,4,6,28,0,38,38,2,0,0,0,4,3,17,0,24,24,0,0,0,0,0,0,3,0,3,3,1,0,0,0,1,0,2,0,3,3,89,3,4,-274,-36,Seattle
2015,2,1,1,0,2,1,11,19,44,3,74,77,1,0,0,0,4,3,25,0,32,32,0,0,2,1,6,16,18,3,40,43,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,97,2,1,-273,-35,Seattle
2016,2,1,3,0,0,1,18,10,51,1,79,80,2,0,0,0,7,2,27,0,36,36,1,0,0,1,8,4,18,1,30,31,0,0,0,0,0,1,3,0,4,4,0,0,0,0,3,3,3,0,9,9,112,4,11,-279,-41,Seattle
2017,2,1,1,0,0,1,7,14,34,1,55,56,1,0,0,0,6,9,23,0,38,38,0,0,0,1,1,3,9,1,13,14,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,3,3,78,1,6,-277,-39,Seattle
2018,2,1,2,1,0,1,10,20,43,1,73,74,1,0,0,0,4,14,15,0,33,33,1,1,0,0,5,5,22,0,32,32,0,0,0,0,1,1,2,0,4,4,0,0,0,1,0,0,4,1,4,5,90,4,6,-276,-38,Seattle
2019,2,1,1,0,0,0,10,13,35,0,58,58,0,0,0,0,3,8,10,0,21,21,1,0,0,0,4,3,15,0,22,22,0,0,0,0,1,1,5,0,7,7,0,0,0,0,2,1,5,0,8,8,84,9,8,-275,-37,Seattle
2020,2,1,1,1,3,2,18,43,55,5,116,121,0,1,0,1,11,21,21,1,53,54,1,0,3,1,6,14,31,4,51,55,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,8,2,0,11,11,148,1,13,-274,-36,Seattle
2021,2,1,5,0,2,1,27,25,51,3,103,106,3,0,2,1,11,12,29,3,52,55,2,0,0,0,14,10,18,0,42,42,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,3,2,0,7,7,147,3,10,-279,-41,Seattle
2022,2,1,4,2,6,5,19,48,48,11,115,126,1,2,3,4,9,28,16,7,53,60,2,0,2,1,8,18,23,3,49,52,0,0,0,0,0,1,5,0,6,6,1,0,1,0,2,1,4,1,7,8,165,6,11,-278,-40,Seattle
2023,2,1,4,1,0,3,12,22,35,3,69,72,2,0,0,1,5,8,19,1,32,33,1,0,0,2,6,14,15,2,35,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,2,113,0,5,-277,-39,Seattle
2024,2,1,5,0,1,6,18,12,36,7,66,73,3,0,1,2,11,4,15,3,30,33,2,0,0,3,6,6,16,3,28,31,0,0,0,0,1,0,2,0,3,3,0,0,0,1,0,2,3,1,5,6,108,3,8,-276,-38,Seattle
2012,3,1,3,0,0,0,16,7,24,0,47,47,2,0,0,0,12,6,14,0,32,32,0,0,0,0,3,1,7,0,11,11,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,0,2,0,2,2,64,2,3,-248,-10,Seattle
2013,3,1,4,0,0,1,17,8,30,1,55,56,1,0,0,0,11,5,17,0,33,33,2,0,0,1,4,3,12,1,19,20,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,2,2,77,1,3,-247,-9,Seattle
2014,3,1,0,0,4,1,8,13,39,5,60,65,0,0,0,0,5,6,21,0,32,32,0,0,4,1,2,5,17,5,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,4,89,0,5,-246,-8,Seattle
2015,3,1,1,0,1,2,11,15,30,3,56,59,1,0,0,1,4,12,23,1,39,40,0,0,1,1,3,3,7,2,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,78,0,6,-245,-7,Seattle
2016,3,1,1,1,1,4,11,10,38,5,59,64,0,0,0,2,6,6,24,2,36,38,0,1,1,2,4,4,9,3,17,20,0,0,0,0,1,0,3,0,4,4,1,0,0,0,0,0,2,0,2,2,80,4,3,-250,-12,Seattle
2017,3,1,1,0,1,1,8,17,54,2,79,81,0,0,1,0,5,12,30,1,47,48,1,0,0,1,1,5,20,1,26,27,0,0,0,0,0,0,3,0,3,3,0,0,0,0,2,0,1,0,3,3,107,3,5,-249,-11,Seattle
2018,3,1,2,0,1,1,12,15,29,2,56,58,2,0,1,0,10,8,14,1,32,33,0,0,0,1,2,4,14,1,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,4,75,1,5,-248,-10,Seattle
2019,3,1,0,0,0,0,10,19,30,0,59,59,0,0,0,0,6,12,21,0,39,39,0,0,0,0,2,4,9,0,15,15,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,4,4,72,1,7,-247,-9,Seattle
2020,3,1,2,1,3,1,11,20,39,4,70,74,1,0,3,0,4,8,26,3,38,41,0,1,0,1,4,9,10,1,23,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,0,9,9,122,1,11,-245,-7,Seattle
2021,3,1,8,0,2,6,29,28,56,8,113,121,6,0,2,1,11,13,35,3,59,62,2,0,0,3,16,9,16,3,41,44,0,0,0,1,0,0,1,1,1,2,0,0,0,1,2,6,4,1,12,13,177,3,13,-251,-13,Seattle
2022,3,1,6,1,5,4,22,41,55,9,118,127,4,1,2,3,12,22,34,5,68,73,1,0,2,1,9,17,16,3,42,45,0,0,0,0,1,0,1,0,2,2,1,0,1,0,0,2,4,1,6,7,167,3,9,-250,-12,Seattle
2023,3,1,3,0,1,2,15,20,51,3,86,89,2,0,0,1,5,11,23,1,39,40,1,0,1,0,7,6,18,1,31,32,0,0,0,0,2,0,2,0,4,4,0,0,0,1,1,3,8,1,12,13,140,5,16,-249,-11,Seattle
2024,3,1,1,2,1,1,13,15,49,2,77,79,0,1,1,1,7,8,32,2,47,49,1,1,0,0,4,4,14,0,22,22,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,2,3,0,6,6,102,2,7,-247,-9,Seattle
2012,4,1,1,0,0,1,5,13,33,1,51,52,1,0,0,1,4,4,18,1,26,27,0,0,0,0,0,9,14,0,23,23,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,91,1,2,-217,21,Seattle
2013,4,1,3,0,0,1,13,14,57,1,84,85,2,0,0,0,11,11,37,0,59,59,1,0,0,1,1,2,9,1,12,13,0,0,0,0,0,1,7,0,8,8,0,0,0,0,1,0,4,0,5,5,116,8,5,-216,22,Seattle
2014,4,1,0,0,0,0,10,15,40,0,65,65,0,0,0,0,8,9,26,0,43,43,0,0,0,0,2,6,6,0,14,14,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,2,0,2,2,108,7,4,-215,23,Seattle
2015,4,1,1,0,0,0,14,12,39,0,65,65,0,0,0,0,13,9,26,0,48,48,1,0,0,0,1,2,8,0,11,11,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,1,2,0,3,3,85,4,4,-214,24,Seattle
2016,4,1,3,0,2,1,16,19,27,3,62,65,1,0,1,1,5,15,21,2,41,43,1,0,1,0,11,3,4,1,18,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,3,3,100,0,6,-219,19,Seattle
2017,4,1,1,0,0,1,7,15,45,1,67,68,1,0,0,1,6,8,27,1,41,42,0,0,0,0,1,5,16,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,89,0,4,-218,20,Seattle
2018,4,1,1,0,0,1,13,14,33,1,60,61,1,0,0,1,7,9,25,1,41,42,0,0,0,0,4,4,6,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,5,87,0,7,-217,21,Seattle
2019,4,1,1,0,1,1,9,17,34,2,60,62,1,0,1,1,8,8,15,2,31,33,0,0,0,0,1,7,17,0,25,25,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,1,0,2,2,77,3,2,-216,22,Seattle
2020,4,1,4,0,0,1,28,20,32,1,80,81,0,0,0,0,21,12,22,0,55,55,4,0,0,1,6,5,9,1,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5,5,127,1,9,-214,24,Seattle
2021,4,1,3,0,4,4,29,21,37,8,87,95,1,0,3,3,16,13,20,6,49,55,2,0,1,1,11,5,16,2,32,34,0,0,0,0,2,2,0,0,4,4,0,0,0,0,0,1,1,0,2,2,121,4,2,-220,18,Seattle
2022,4,1,3,0,3,3,17,33,61,6,111,117,0,0,2,1,5,20,33,3,58,61,0,0,1,1,6,9,25,2,40,42,0,0,0,0,3,1,0,0,4,4,3,0,0,1,3,3,3,1,9,10,152,4,14,-219,19,Seattle
2023,4,1,1,0,0,4,15,22,39,4,76,80,0,0,0,1,9,16,26,1,51,52,1,0,0,3,6,6,12,3,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,105,1,3,-218,20,Seattle
2024,4,1,3,1,4,4,26,17,45,8,88,96,2,0,3,1,16,14,29,4,59,63,0,0,1,3,9,2,14,4,25,29,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,0,3,3,131,2,5,-216,22,Seattle
2012,5,1,0,0,1,0,7,12,42,1,61,62,0,0,1,0,4,11,28,1,43,44,0,0,0,0,2,0,5,0,7,7,0,0,0,0,1,0,5,0,6,6,0,0,0,0,0,1,4,0,5,5,87,6,6,-187,51,Seattle
2013,5,1,6,1,1,3,14,17,44,4,75,79,6,1,1,2,12,13,25,3,50,53,0,0,0,1,2,3,6,1,11,12,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,1,9,0,10,10,101,4,13,-186,52,Seattle
2014,5,1,5,0,1,1,10,13,52,2,75,77,4,0,0,0,9,11,36,0,56,56,0,0,0,1,1,2,12,1,15,16,0,0,0,0,0,0,4,0,4,4,1,0,1,0,0,0,0,1,0,1,111,4,5,-185,53,Seattle
2015,5,1,0,0,0,1,20,11,33,1,64,65,0,0,0,0,16,9,27,0,52,52,0,0,0,1,3,2,3,1,8,9,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,0,3,3,83,2,5,-184,54,Seattle
2016,5,1,4,0,0,4,13,19,34,4,66,70,4,0,0,3,6,16,28,3,50,53,0,0,0,0,4,3,5,0,12,12,0,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0,1,1,2,3,101,2,5,-189,49,Seattle
2017,5,1,3,1,1,2,20,11,46,3,77,80,3,0,1,2,15,8,36,3,59,62,0,0,0,0,4,2,5,0,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,7,7,101,1,7,-188,50,Seattle
2018,5,1,0,0,0,0,17,23,32,0,72,72,0,0,0,0,14,20,25,0,59,59,0,0,0,0,3,2,5,0,10,10,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,1,1,95,2,2,-187,51,Seattle
2019,5,1,2,0,0,0,9,18,39,0,66,66,2,0,0,0,7,10,31,0,48,48,0,0,0,0,2,4,7,0,13,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,4,4,90,1,5,-186,52,Seattle
2020,5,1,7,2,4,2,16,10,34,6,60,66,7,1,3,1,10,5,25,4,40,44,0,0,0,1,4,4,6,1,14,15,0,0,0,0,1,0,1,0,2,2,0,1,1,0,1,1,2,1,4,5,185,2,9,-184,54,Seattle
2021,5,1,7,0,2,5,15,15,35,7,65,72,3,0,1,5,8,12,26,6,46,52,4,0,1,0,7,1,7,1,15,16,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,2,101,2,3,-190,48,Seattle
2022,5,1,0,0,3,5,20,21,50,8,91,99,0,0,1,1,10,16,32,2,58,60,0,0,2,2,9,2,12,4,23,27,0,0,0,1,0,2,1,1,3,4,0,0,0,1,1,1,5,1,7,8,138,4,9,-189,49,Seattle
2023,5,1,6,1,3,2,26,14,49,5,89,94,3,1,1,1,18,12,31,2,61,63,2,0,1,1,7,1,15,2,23,25,0,0,0,0,0,0,2,0,2,2,1,0,1,0,1,1,1,1,3,4,145,2,7,-188,50,Seattle
2024,5,1,2,2,0,5,14,28,39,5,81,86,1,0,0,3,5,17,21,3,43,46,0,1,0,1,9,7,11,1,27,28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,7,1,11,12,125,0,16,-186,52,Seattle
2012,6,1,3,0,1,0,8,12,31,1,51,52,1,0,0,0,7,9,24,0,40,40,1,0,1,0,0,2,4,1,6,7,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,0,4,4,72,1,7,-156,82,Seattle
2013,6,1,2,0,0,2,4,25,36,2,65,67,1,0,0,0,1,18,26,0,45,45,1,0,0,1,2,4,5,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,1,9,10,85,1,11,-155,83,Seattle
2014,6,1,0,0,1,2,12,12,51,3,75,78,0,0,1,1,8,7,42,2,57,59,0,0,0,0,0,5,7,0,12,12,0,0,0,1,0,0,1,1,1,2,0,0,0,0,4,0,1,0,5,5,99,2,6,-154,84,Seattle
2015,6,1,1,1,2,4,18,26,41,6,85,91,0,1,0,3,17,22,33,3,72,75,1,0,1,0,1,1,1,1,3,4,0,0,0,0,0,1,2,0,3,3,0,0,1,1,0,2,5,2,7,9,118,3,10,-153,85,Seattle
2016,6,1,2,0,0,1,12,21,20,1,53,54,1,0,0,0,9,15,16,0,40,40,1,0,0,1,1,3,2,1,6,7,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,2,2,0,5,5,73,2,5,-158,80,Seattle
2017,6,1,1,0,1,1,10,23,41,2,74,76,1,0,1,1,8,19,34,2,61,63,0,0,0,0,1,0,2,0,3,3,0,0,0,0,0,3,1,0,4,4,0,0,0,0,1,1,4,0,6,6,105,4,7,-157,81,Seattle
2018,6,1,1,1,0,3,9,15,28,3,52,55,1,0,0,2,8,12,20,2,40,42,0,0,0,0,1,1,2,0,4,4,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,5,1,7,8,69,1,11,-156,82,Seattle
2019,6,1,3,0,2,5,16,39,34,7,89,96,2,0,0,2,12,30,28,2,70,72,0,0,1,3,3,6,6,4,15,19,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,3,0,1,3,4,136,2,5,-155,83,Seattle
2020,6,1,3,2,1,6,26,20,36,7,82,89,3,0,1,3,17,16,31,4,64,68,0,2,0,0,7,2,5,0,14,14,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,2,0,3,3,6,182,1,8,-153,85,Seattle
2021,6,1,2,1,2,4,36,24,66,6,126,132,2,1,2,2,20,18,55,4,93,97,0,0,0,2,10,4,6,2,20,22,0,0,0,0,2,0,3,0,5,5,0,0,0,0,4,2,2,0,8,8,186,5,11,-159,79,Seattle
2022,6,1,3,1,0,5,10,25,41,5,76,81,2,1,0,2,7,16,27,2,50,52,1,0,0,2,1,4,8,2,13,15,0,0,0,0,2,0,3,0,5,5,0,0,0,1,0,5,3,1,8,9,127,6,9,-158,80,Seattle
2023,6,1,8,2,1,2,13,15,37,3,65,68,6,0,1,0,8,10,26,1,44,45,1,1,0,1,2,2,8,1,12,13,0,0,0,0,0,1,1,0,2,2,1,1,0,1,3,2,2,1,7,8,105,2,10,-157,81,Seattle
2024,6,1,3,1,1,2,21,23,44,3,88,91,2,0,1,2,14,17,29,3,60,63,0,1,0,0,4,3,9,0,16,16,0,0,0,0,2,0,3,0,5,5,1,0,0,0,1,3,3,0,7,7,128,8,10,-155,83,Seattle
2012,7,1,2,0,0,0,11,8,33,0,52,52,0,0,0,0,10,4,23,0,37,37,2,0,0,0,11,8,33,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,-126,112,Seattle
2013,7,1,1,0,1,0,11,20,58,1,89,90,0,0,0,0,9,17,46,0,72,72,1,0,1,0,11,20,58,1,89,90,0,0,0,0,2,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,114,5,0,-125,113,Seattle
2014,7,1,3,0,1,0,7,16,47,1,70,71,3,0,0,0,6,11,39,0,56,56,3,0,1,0,7,16,47,1,70,71,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,93,1,0,-124,114,Seattle
2015,7,1,2,0,2,0,12,16,37,2,65,67,2,0,0,0,10,12,34,0,56,56,2,0,2,0,12,16,37,2,65,67,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,87,2,0,-123,115,Seattle
2016,7,1,0,0,0,0,9,12,34,0,55,55,0,0,0,0,9,7,26,0,42,42,0,0,0,0,9,12,34,0,55,55,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,75,2,0,-128,110,Seattle
2017,7,1,0,0,1,2,9,21,39,3,69,72,0,0,0,0,8,19,33,0,60,60,0,0,1,2,9,21,39,3,69,72,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,93,1,0,-127,111,Seattle
2018,7,1,2,0,0,2,13,13,56,2,82,84,1,0,0,0,11,9,49,0,69,69,2,0,0,2,13,13,56,2,82,84,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,106,2,0,-126,112,Seattle
2019,7,1,7,0,2,6,16,23,47,8,86,94,5,0,1,4,15,17,39,5,71,76,7,0,2,6,16,23,47,8,86,94,1,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,143,5,0,-125,113,Seattle
2020,7,1,4,0,0,2,22,16,37,2,75,77,3,0,0,1,15,15,30,1,60,61,4,0,0,2,22,16,37,2,75,77,0,0,0,0,2,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,117,5,0,-123,115,Seattle
2021,7,1,2,1,2,2,15,26,33,4,74,78,2,0,1,0,13,18,27,1,58,59,2,1,2,2,15,26,33,4,74,78,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,118,2,0,-129,109,Seattle
2022,7,1,5,0,1,3,14,30,42,4,86,90,2,0,1,1,9,25,30,2,64,66,5,0,1,3,14,30,42,4,86,90,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,133,2,0,-128,110,Seattle
