city,year,month,day,temperature_sunrise,precipitation_sunrise,humidity_sunrise,visibility_sunrise,temperature_sunset,precipitation_sunset,humidity_sunset,visibility_sunset
Austin,2012,1,1,14.55,0,56,16069.75,16.23,0,31.18,16069.75
Austin,2012,1,2,7.2,0,49.65,16069.75,14.3,0,27.91,16069.75
Austin,2012,1,3,0.15,0,82.23,16069.75,14.9,0,27.13,16069.75
Austin,2012,1,4,5.15,0,87.29,16069.75,20.28,0,47.71,16069.75
Austin,2012,1,5,5.55,0,81.02,16069.75,18.35,0,40.46,16069.75
Austin,2012,1,6,14.22,0,83.49,16077.5,22.23,0,49.16,16069.75
Austin,2012,1,7,12.7,0,97.42,9984.62,18.75,0,39.13,16069.75
Austin,2012,1,8,8.8,0,78.2,16069.75,14.55,0,80.95,9894.25
Austin,2012,1,9,13.37,1,88.61,13060.12,10.27,5.1,90.85,11518
Austin,2012,1,10,5.86,0.3,88.06,15081.38,13.05,0,53.87,16069.75
Austin,2012,1,11,3.45,0,83.36,16069.75,22.92,0,26.62,16069.75
Austin,2012,1,12,8.73,0,64.69,16069.75,8.2,0,19.86,16069.75
Austin,2012,1,13,1.38,0,51.14,16069.75,12.65,0,25.54,16069.75
Austin,2012,1,14,-0.68,0,66.1,16069.75,17.1,0,25.24,16069.75
Austin,2012,1,15,2.22,0,73.39,16069.75,17.2,0,48.95,16069.75
Austin,2012,1,16,15.88,0,91.07,16069.75,21.52,0,73.21,16069.75
Austin,2012,1,17,19.15,0,92.53,13253.75,22.08,0,42.14,16069.75
Austin,2012,1,18,5.7,0,49.56,16069.75,13.35,0,37.5,16069.75
Austin,2012,1,19,8.75,0,71.35,16069.75,23.2,0,53.01,16069.75
Austin,2012,1,20,12.74,0,97.94,5580.75,20.06,0,84.69,7181.38
Austin,2012,1,21,11.14,0,99.15,918.92,12.5,0,58.36,16069.75
Austin,2012,1,22,10.53,0,78.25,15569.75,19.27,0,85.43,4316.5
Austin,2012,1,23,11.95,0,55.35,16069.75,16.23,0,40.05,16069.75
Austin,2012,1,24,7.2,0,82.47,16069.75,15.51,5.1,88.89,6559.67
Austin,2012,1,25,20.75,0,92.93,12996.83,14.43,3,84.4,16069.75
Austin,2012,1,26,10.15,0,80.76,16069.75,17.65,0,41.46,16069.75
Austin,2012,1,27,5.53,0,88.67,16069.75,19.02,0,45.2,16069.75
Austin,2012,1,28,13.6,0,62.11,16069.75,13.03,0,33.85,16069.75
Austin,2012,1,29,1.85,0,77.98,16069.75,14.45,0,32.84,16069.75
Austin,2012,1,30,5.8,0,77.29,16069.75,17.02,0,71.61,16077.5
Austin,2012,1,31,15.73,5.1,95.05,12765.12,20.52,0,79.4,16077.5
Austin,2012,2,1,15.55,0,98.12,9089.75,24.3,0,66.44,16069.75
Austin,2012,2,2,14.1,0,97.68,11249.83,19.54,0,84.35,7439.62
Austin,2012,2,3,19.2,0,92.91,13667.88,23.47,0,72.35,16069.75
Austin,2012,2,4,20.8,1,94.63,9075.17,14.72,0,54.43,16069.75
Austin,2012,2,5,9.45,0,61.04,16069.75,8.18,2,73.86,16069.75
Austin,2012,2,6,4.7,0,80.39,16069.75,9.28,0,60.45,16069.75
Austin,2012,2,7,9.4,0,73,16069.75,15.68,0,49.37,16069.75
Austin,2012,2,8,10.28,0,71.8,16069.75,10.65,0,67.07,16069.75
Austin,2012,2,9,5.42,0,85.73,9992,12.78,0,58.95,14862.75
Austin,2012,2,10,10.63,0,80.89,12054.5,15.57,0,52.12,16069.75
Austin,2012,2,11,7.9,0,67.19,16069.75,9.03,0,35.14,16069.75
Austin,2012,2,12,0.7,0,54.38,16069.75,4.3,0,47.92,15675.25
Austin,2012,2,13,4.55,0,84.54,10437.25,10.27,2,88.05,12046.5
Austin,2012,2,14,5.18,0,98.83,5155.5,21,0,58.94,16069.75
Austin,2012,2,15,17.2,0,98.33,3214.25,24.88,0,60.74,16069.75
Austin,2012,2,16,9.45,0,85.16,16069.75,15.25,0,56.86,16069.75
Austin,2012,2,17,11.1,0,85.6,12406.25,13.08,0.5,95.61,2545
Austin,2012,2,18,13.64,8.9,97.53,1726.3,13.77,3,89.91,12858.83
Austin,2012,2,19,9.7,0,81.78,16069.75,13.65,0,64.84,16077.5
Austin,2012,2,20,9.03,0,88.55,15265.25,16.38,0,76.63,16069.75
Austin,2012,2,21,14.15,0,98.7,4815.95,21.52,0,63.06,16069.75
Austin,2012,2,22,17.5,0,91.74,13655.75,27.62,0,32.3,16069.75
Austin,2012,2,23,15.15,0,73.5,16069.75,30.27,0,33.28,16069.75
Austin,2012,2,24,16.7,0,45.43,16069.75,14.6,0,26.72,16069.75
Austin,2012,2,25,4.85,0,71.12,16069.75,14.43,0,31.07,16069.75
Austin,2012,2,26,4.3,0,78.83,16069.75,17.77,0,56.66,16069.75
Austin,2012,2,27,13.62,0,83.8,16069.75,19.88,0,74.39,15569.75
Austin,2012,2,28,17.12,1,96.51,6230.17,23.3,0,77.08,15410.83
Austin,2012,2,29,20.73,0,86.91,16069.75,21.1,0.3,47.81,16069.75
Austin,2012,3,1,13.35,0,83.08,16069.75,21.23,0,87.07,6822.08
Austin,2012,3,2,20.45,0,92.45,11851.25,27.35,0,35.97,16069.75
Austin,2012,3,3,14.7,0,47.1,16069.75,16.92,0,21.49,16069.75
Austin,2012,3,4,5.1,0,74.52,16069.75,20.98,0,25.89,16069.75
Austin,2012,3,5,8.05,0,67.5,16069.75,22.9,0,33.4,16069.75
Austin,2012,3,6,12.1,0,85.68,16069.75,22.65,0,50.56,16069.75
Austin,2012,3,7,18.25,0,83.97,16077.5,21.02,0,83.82,9518.08
Austin,2012,3,8,21.27,0,89.63,15118.3,23.62,0,78.15,16069.75
Austin,2012,3,9,8.18,0.3,86.92,16069.75,6.96,7.9,93,8930.2
Austin,2012,3,10,6.95,14,86.66,16069.75,9.85,11.9,94.68,8382.5
Austin,2012,3,11,11.1,0,98.38,1203.75,19.7,5.1,72.59,16069.75
Austin,2012,3,12,9.97,0,94.15,8559.58,23.85,0,66.56,16069.75
Austin,2012,3,13,17.61,0,96.16,3688.17,25.02,0,71.86,15410.83
Austin,2012,3,14,20,0,89.59,14863,24.58,0,71.88,16069.75
Austin,2012,3,15,19.68,0,91.07,16081.38,25.73,0,65.74,16077.5
Austin,2012,3,16,20.6,0,89.22,16069.75,24.7,0,70.24,16069.75
Austin,2012,3,17,19.88,0,90.14,16069.75,25.3,0,62.13,16069.75
Austin,2012,3,18,20.15,0,86.45,16069.75,23.17,0,77.04,15265.25
Austin,2012,3,19,21.75,0,88.86,14736.67,24.12,0,67.77,16069.75
Austin,2012,3,20,14.43,0,92.26,3866.5,18.45,0,58.04,16069.75
Austin,2012,3,21,12.2,0,84.86,16093,20.73,0,33.76,16069.75
Austin,2012,3,22,11.4,0,70.61,16069.75,25.98,0,35.74,16069.75
Austin,2012,3,23,9.98,0,78.84,16069.75,23.2,0,38.31,16069.75
Austin,2012,3,24,12.62,0,90.14,16069.75,23.37,0,67.08,16077.5
Austin,2012,3,25,15.28,0,94.09,12448.75,25.3,0,58.02,16069.75
Austin,2012,3,26,14.45,0,89.37,13656.25,26.95,0,46.26,16069.75
Austin,2012,3,27,14.42,0,82.84,16069.75,25.3,0,61.51,16069.75
Austin,2012,3,28,18.38,0,91.27,15265.25,22.2,0,82.95,14460.75
Austin,2012,3,29,18.06,2,98.32,8713.15,24.7,0,67.9,15569.75
Austin,2012,3,30,20.95,0,89.69,11851.25,25.73,0,66.14,16077.5
Austin,2012,3,31,19.58,0,91.07,14058.5,28.73,0,58.2,16069.75
Austin,2012,4,1,20.85,0,90.06,11046.5,29.15,0,56.85,16069.75
Austin,2012,4,2,22.12,0,86.9,15273,28.05,0,55.22,16069.75
Austin,2012,4,3,23.17,0,87.67,11387.5,29.15,0,58.38,13960.75
Austin,2012,4,4,14,0,89.84,16069.75,26.8,0,39.69,16069.75
Austin,2012,4,5,15.52,0,91.26,13253.5,29,0,51.6,16069.75
Austin,2012,4,6,16.82,0,81.02,16069.75,27.2,0,46.91,16069.75
Austin,2012,4,7,18.93,0,93.58,12875,27.25,0,54.27,16069.75
Austin,2012,4,8,18.2,0,86.72,16069.75,26.7,0,49.66,16069.75
Austin,2012,4,9,17.9,0,82.69,16069.75,27.1,0,48.09,16069.75
Austin,2012,4,10,15.95,0,90.54,15667.5,27.25,0,48.54,16069.75
Austin,2012,4,11,16.5,0,90,15265.25,27.25,0,49.9,14069.75
Austin,2012,4,12,21.03,0,82.94,16077.5,28.2,0,51.1,16069.75
Austin,2012,4,13,20,0,86.77,16069.75,26.52,0,62.59,16069.75
Austin,2012,4,14,22.85,0,83.27,16069.75,26.55,0,66.14,16069.75
Austin,2012,4,15,23.9,0,83.77,13863,20.42,3,56.86,16069.75
Austin,2012,4,16,13.58,0,89.34,16069.75,23.3,0,44.84,16069.75
Austin,2012,4,17,14.7,0,92.63,16069.75,26.8,0,32.67,16069.75
Austin,2012,4,18,10.55,0,89.7,16093,25.85,0,45.77,16069.75
Austin,2012,4,19,13.6,0,78.2,16069.75,27.77,0,36.42,16069.75
Austin,2012,4,20,16.95,0,85.56,16069.75,20.55,0,72.56,15679.12
Austin,2012,4,21,14.88,0,61.06,16069.75,24.6,0,25.92,16069.75
Austin,2012,4,22,11.55,0,76.67,16069.75,29.48,0,25.62,16069.75
Austin,2012,4,23,19.15,0,49.58,16069.75,24.73,0,26.98,16069.75
Austin,2012,4,24,11.68,0,80.05,16069.75,29.58,0,33.44,16069.75
Austin,2012,4,25,18.25,0,83.71,16069.75,31.1,0,46.63,16069.75
Austin,2012,4,26,21.12,0,84.07,16069.75,32.08,0,42.33,16069.75
Austin,2012,4,27,20.88,0,86.1,16069.75,30.68,0,40.88,16069.75
Austin,2012,4,28,22.32,0,77.63,16069.75,31.12,0,42.32,16069.75
Austin,2012,4,29,22.87,0,83.19,14326.67,30.27,0,41.9,16069.75
Austin,2012,4,30,23.38,0,84.29,16069.75,27.38,0,61.4,16069.75
Austin,2012,5,1,21.98,0,87.07,16069.75,28.73,0,55.33,16069.75
Austin,2012,5,2,22.15,0,85.45,16069.75,28.6,0,55.89,16069.75
Austin,2012,5,3,22.52,0,85.85,16069.75,31.4,0,48.95,16069.75
Austin,2012,5,4,22.77,0,83.02,16069.75,31.38,0,52.88,16069.75
Austin,2012,5,5,23.8,0,82.75,16077.5,33.17,0,47.26,16069.75
Austin,2012,5,6,22.05,3,85.7,9379.83,32.2,1,42.46,16069.75
Austin,2012,5,7,23.12,0,87.7,16069.75,31.53,0,55.48,16069.75
Austin,2012,5,8,19.4,10.9,91.13,16069.75,21,3,87.87,10184.67
Austin,2012,5,9,17.35,0,92.44,16069.75,26.37,0.3,56.27,16077.5
Austin,2012,5,10,20.12,0,82.01,14460.75,20.73,2,90.68,5620.75
Austin,2012,5,11,17.72,64,95.67,7084.42,25.37,0,63.56,16077.5
Austin,2012,5,12,20.45,0.8,86.36,16069.75,25.7,0,50.75,16069.75
Austin,2012,5,13,18.6,0,80.06,16069.75,26.7,0,44.49,16069.75
Austin,2012,5,14,17.2,0,88.18,14460.75,28.45,0,41.2,16069.75
Austin,2012,5,15,18.75,7.9,94.27,9046.5,18.24,0,91.62,11818.38
Austin,2012,5,16,15.85,0,92.94,15069.75,28.08,0,41.85,16069.75
Austin,2012,5,17,16.38,0,90.39,16069.75,29.7,0,36.63,16069.75
Austin,2012,5,18,19,0,84.89,15667.5,29.55,0,46.61,16069.75
Austin,2012,5,19,21.12,0,87.96,12851.25,29.85,0,46.53,16069.75
Austin,2012,5,20,19.15,0,89.32,13253.5,29,0,47.34,16069.75
Austin,2012,5,21,20.98,0,82.47,16069.75,30.85,0,41.77,16069.75
Austin,2012,5,22,22.08,0,76.39,16069.75,31.95,0,41.33,16069.75
Austin,2012,5,23,20.68,0,72.18,16069.75,31.23,0,52.28,16069.75
Austin,2012,5,24,23.9,0,81.11,16069.75,32.2,0,52.06,16069.75
Austin,2012,5,25,24.15,0,82.54,16069.75,32.62,0,51.69,16069.75
Austin,2012,5,26,25.15,0,80.55,16069.75,32.38,0,46.2,16069.75
Austin,2012,5,27,23.9,0,83.77,16069.75,30.3,0,49.15,16069.75
Austin,2012,5,28,22.32,0,85.36,16069.75,31.97,0,47.86,16069.75
Austin,2012,5,29,23.88,0,83.46,16069.75,32.5,0,49.46,16069.75
Austin,2012,5,30,24.08,0,88.69,16069.75,32.8,0,46.84,16093
Austin,2012,5,31,25.4,0,79.84,16077.5,29.42,0,42,16069.75
Austin,2012,6,1,20.82,0,80.4,16069.75,30.85,0,40.69,16069.75
Austin,2012,6,2,24,0,80.35,16069.75,32.1,0,46.32,16069.75
Austin,2012,6,3,24.28,0,82.08,16077.5,31.95,0,52.85,16069.75
Austin,2012,6,4,24.55,0,85.45,16069.75,30.55,0,57.64,16069.75
Austin,2012,6,5,24.97,0,82.9,16069.75,33.02,0,46.26,16069.75
Austin,2012,6,6,24.88,0,76.78,16069.75,34.15,0,39.43,16069.75
Austin,2012,6,7,25.15,0,76.69,16069.75,30.3,0,48.38,16069.75
Austin,2012,6,8,23.54,0,80.15,16077.5,27.75,0.3,61.7,14460.75
Austin,2012,6,9,20.7,0,87.1,16069.75,32.35,0,46.01,16069.75
Austin,2012,6,10,23.62,0,81.92,16069.75,33.33,0,52.11,16069.75
